,Desvio Padrão,Erro Padrão (SE),Margem de Erro (ME),Intervalo de Confiança Inferior,Intervalo de Confiança Superior
retorno_sp500,0.01103814730209488,0.0004027877156664582,0.0007894639227062581,-0.0005121950620150992,0.001066732783397417
retorno_bigtech,0.019603864951081375,0.0007153551919334532,0.0014020961761895682,-0.0007881803720717159,0.0020160119803074206
vix,5.7352397643526745,0.20928187133765006,0.4101924678217941,18.96167173673733,19.782056672380918
taxa_juros_10y,0.735313975911259,0.02683198806367689,0.052590696604806704,3.6590231518236274,3.7642045450332406
