,Modelo 1 (S&P 500),Modelo 2 (VIX)
β₀ (Intercepto),-0.00037206012362004726,36.34535409551867
β₁ (retorno_bigtech),0.48918210502094056,-46.17540515696888
β₂ (taxa_juros_10y),9.403250801392445e-05,-4.565437777732996
R²,0.7553734298624974,0.3765879525909237
R² Ajustado,0.7547193481241619,0.3749210754588138
F-statistic,1154.8609074221893,225.92424200712506
Prob(F),1.996899452199431e-229,1.7616569348828098e-77
