Data,SP500,Apple,Microsoft,Alphabet,Amazon,Nvidia,Tesla,Meta,VIX,Taxa_Juros_10Y
2022-01-03,4796.56005859375,178.27032470703125,324.5046081542969,143.9983367919922,170.4044952392578,30.064437866210938,399.9266662597656,336.4657897949219,16.600000381469727,1.628000020980835
2022-01-04,4793.5400390625,176.00779724121094,318.9402160644531,143.41038513183594,167.52200317382812,29.23499870300293,383.1966552734375,334.4680480957031,16.90999984741211,1.6679999828338623
2022-01-05,4700.580078125,171.32601928710938,306.6968688964844,136.83126831054688,164.35699462890625,27.55216407775879,362.7066650390625,322.183837890625,19.729999542236328,1.7050000429153442
2022-01-06,4696.0498046875,168.46600341796875,304.27337646484375,136.803955078125,163.25399780273438,28.125089645385742,354.8999938964844,330.42303466796875,19.610000610351562,1.7330000400543213
2022-01-07,4677.02978515625,168.6324920654297,304.428466796875,136.07846069335938,162.5540008544922,27.195833206176758,342.32000732421875,329.75714111328125,18.760000228881836,1.7710000276565552
2022-01-10,4670.2900390625,168.65208435058594,304.6514587402344,137.71963500976562,161.48599243164062,27.348552703857422,352.7066650390625,326.0599365234375,19.399999618530273,1.7799999713897705
2022-01-11,4713.06982421875,171.48272705078125,305.3396911621094,138.77880859375,165.36199951171875,27.7647647857666,354.79998779296875,332.3213195800781,18.40999984741211,1.746000051498413
2022-01-12,4726.35009765625,171.92347717285156,308.5289611816406,140.46173095703125,165.20700073242188,27.946420669555664,368.739990234375,331.2181091308594,17.6200008392334,1.725000023841858
2022-01-13,4659.02978515625,168.65208435058594,295.4712829589844,137.6376953125,161.21400451660156,26.525100708007812,343.85333251953125,324.47967529296875,20.309999465942383,1.7109999656677246
2022-01-14,4662.85009765625,169.5139923095703,300.7060546875,138.5250701904297,162.13800048828125,26.891403198242188,349.8699951171875,329.8664245605469,19.190000534057617,1.7719999551773071
2022-01-18,4577.10986328125,166.31118774414062,293.3869934082031,135.06643676757812,158.91749572753906,25.854360580444336,343.5033264160156,316.2007141113281,22.790000915527344,1.8650000095367432
2022-01-19,4532.759765625,162.81451416015625,294.04620361328125,134.1909637451172,156.2989959716797,25.019929885864258,331.8833312988281,317.6319274902344,23.850000381469727,1.8270000219345093
2022-01-20,4482.72998046875,161.12989807128906,292.369140625,132.39437866210938,151.66749572753906,24.104652404785156,332.0899963378906,314.6204528808594,25.59000015258789,1.8329999446868896
2022-01-21,4397.93994140625,159.07302856445312,286.9696350097656,129.4586181640625,142.64300537109375,23.33011245727539,314.6333312988281,301.3125,28.850000381469727,1.746999979019165
2022-01-24,4410.1298828125,158.29925537109375,287.2992858886719,129.9080047607422,144.54400634765625,23.328113555908203,310.0,306.8185729980469,29.899999618530273,1.7350000143051147
2022-01-25,4356.4501953125,156.49705505371094,279.6604309082031,126.06551361083984,139.98599243164062,22.28207778930664,306.1333312988281,298.31097412109375,31.15999984741211,1.7829999923706055
2022-01-26,4349.93017578125,156.40892028808594,287.62884521484375,128.3477783203125,138.87249755859375,22.729238510131836,312.4700012207031,292.8247985839844,31.959999084472656,1.8480000495910645
2022-01-27,4326.509765625,155.94859313964844,290.6630859375,128.121337890625,139.6374969482422,21.902793884277344,276.3666687011719,292.8347473144531,30.489999771118164,1.8070000410079956
2022-01-28,4431.85009765625,166.83029174804688,298.8253479003906,132.43756103515625,143.97799682617188,22.797109603881836,282.1166687011719,299.8614501953125,27.65999984741211,1.781999945640564
2022-01-31,4515.5498046875,171.18885803222656,301.462158203125,134.37669372558594,149.57350158691406,24.44002342224121,312.239990234375,311.3406982421875,24.829999923706055,1.781999945640564
2022-02-01,4546.5400390625,171.02235412597656,299.3100891113281,136.701171875,151.19349670410156,24.591733932495117,310.4166564941406,317.0455017089844,21.959999084472656,1.7999999523162842
2022-02-02,4589.3798828125,172.2270965576172,303.86614990234375,146.98622131347656,150.6125030517578,25.19460105895996,301.88665771484375,321.02099609375,22.09000015258789,1.7660000324249268
2022-02-03,4477.43994140625,169.34750366210938,292.0299072265625,142.10984802246094,138.8455047607422,23.903030395507812,297.0466613769531,236.30325317382812,24.350000381469727,1.8270000219345093
2022-02-04,4500.52978515625,169.0631103515625,296.57635498046875,142.3114471435547,157.63949584960938,24.27333641052246,307.7733459472656,235.6373748779297,23.219999313354492,1.9299999475479126
2022-02-07,4483.8701171875,168.34719848632812,291.7390441894531,138.24749755859375,157.9355010986328,24.681564331054688,302.4466552734375,223.53199768066406,22.860000610351562,1.9160000085830688
2022-02-08,4521.5400390625,171.45602416992188,295.2385559082031,138.44415283203125,161.4134979248047,25.06085205078125,307.3333435058594,218.83096313476562,21.440000534057617,1.9539999961853027
2022-02-09,4587.18017578125,172.87802124023438,301.6850280761719,140.62210083007812,161.1894989013672,26.654855728149414,310.6666564941406,230.57855224609375,19.959999084472656,1.9290000200271606
2022-02-10,4504.080078125,168.79830932617188,293.1253662109375,137.6704559326172,159.0034942626953,25.77550506591797,301.51666259765625,226.67263793945312,23.90999984741211,2.0309998989105225
2022-02-11,4418.64013671875,165.3854522705078,286.010009765625,133.36268615722656,153.2935028076172,23.90402603149414,286.6666564941406,218.204833984375,27.360000610351562,1.9550000429153442
2022-02-14,4401.669921875,165.62081909179688,285.9711608886719,134.59767150878906,155.16700744628906,24.221431732177734,291.9200134277344,216.3661651611328,28.329999923706055,1.996000051498413
2022-02-15,4471.06982421875,169.4553680419922,291.2737731933594,135.67276000976562,156.510498046875,26.445249557495117,307.4766540527344,219.64593505859375,25.700000762939453,2.0450000762939453
2022-02-16,4475.009765625,169.2200164794922,290.93377685546875,136.79452514648438,158.10049438476562,26.46121597290039,307.7966613769531,215.2132568359375,24.290000915527344,2.046999931335449
2022-02-17,4380.259765625,165.62081909179688,282.41461181640625,131.631103515625,154.65249633789062,24.460981369018555,292.1166687011719,206.43736267089844,28.110000610351562,1.972000002861023
2022-02-18,4348.8701171875,164.0713348388672,279.6947326660156,129.509765625,152.60150146484375,23.597606658935547,285.6600036621094,204.89688110351562,27.75,1.9320000410079956
2022-02-22,4304.759765625,161.14883422851562,279.49072265625,128.92428588867188,150.19749450683594,23.3460750579834,273.84332275390625,200.8418731689453,28.809999465942383,1.9479999542236328
2022-02-23,4225.5,156.98085021972656,272.2538146972656,126.71404266357422,144.82699584960938,22.34496307373047,254.67999267578125,197.23410034179688,31.020000457763672,1.9769999980926514
2022-02-24,4288.7001953125,159.59930419921875,286.1641845703125,131.78208923339844,151.35800170898438,23.703405380249023,266.92333984375,206.3280487060547,30.31999969482422,1.968999981880188
2022-02-25,4384.64990234375,161.6685791015625,288.806396484375,133.53848266601562,153.7884979248047,24.111637115478516,269.9566650390625,209.19039916992188,27.59000015258789,1.9859999418258667
2022-02-28,4373.93994140625,161.93338012695312,290.2441101074219,134.1318817138672,153.56300354003906,24.339210510253906,290.1433410644531,209.73703002929688,30.149999618530273,1.8389999866485596
2022-03-01,4306.259765625,160.0504608154297,286.5139465332031,133.1431884765625,151.14199829101562,23.432910919189453,288.1233215332031,202.2432098388672,33.31999969482422,1.7070000171661377
2022-03-02,4386.5400390625,163.34561157226562,291.6040954589844,133.64971923828125,152.05250549316406,24.178634643554688,293.2966613769531,206.8349151611328,30.739999771118164,1.8650000095367432
