Data,Apple,Microsoft,Alphabet,Amazon,Nvidia,Tesla,Meta
2022-01-03,0.11257036066677059,0.20491128199822864,0.09092901319795665,0.10760341363514472,0.018984453073751514,0.2525372023364322,0.21246427509171573
2022-01-04,0.11335011108378386,0.20539947369744754,0.09235717587547708,0.10788520716902285,0.018827520157974908,0.24678101835825086,0.21539949365804287
2022-01-05,0.11485642124513464,0.2056086105024496,0.09173124933373554,0.1101844091646524,0.0184708836211677,0.24315740061835991,0.2159910255145002
2022-01-06,0.11335005486988792,0.2047261953034343,0.09204667707377444,0.10984322791084125,0.01892358333340124,0.2387896250003794,0.22232063650828146
2022-01-07,0.11464061438111503,0.20695813743387853,0.0925095641228516,0.11050830299558616,0.018488412222199397,0.2327177608178238,0.22417720802654548
2022-01-10,0.11406013111109847,0.20603709382485205,0.09314038238112009,0.10921367227854716,0.018495943996851803,0.2385370368413949,0.22051573956613552
2022-01-11,0.11463903965817726,0.20412463439529363,0.09277592918954583,0.11054723205075744,0.018561204537136267,0.23718966085298004,0.2221622993161095
2022-01-12,0.11355387051847902,0.20378053239347338,0.09277367740683891,0.10911769979532544,0.01845835302048431,0.24354936157998683,0.2187665052854121
2022-01-13,0.11568682011529031,0.2026783913909648,0.09441251414124609,0.11058467265550216,0.018194880697521593,0.23586603615605958,0.22257668484341545
2022-01-14,0.11472943289764571,0.2035220494375528,0.09375569844423572,0.10973725881700264,0.01820047653129386,0.23679688963015932,0.22325819424210994
2022-01-18,0.11555482634007339,0.20384848147364393,0.09384563273675417,0.11041760852220303,0.017963891591004172,0.23866985600695817,0.21969970332936314
2022-01-19,0.11450603598674797,0.20680014522285567,0.09437534118475445,0.10992372854314916,0.01759629973208977,0.23341066902501847,0.2233877803053845
2022-01-20,0.11440829465171473,0.2075930984136445,0.09400499389321139,0.10768963269999017,0.01711521081943276,0.23579640157844917,0.2233923679435573
2022-01-21,0.11718775435005094,0.21140810228443144,0.0953710687526153,0.10508389526517216,0.017187096469308057,0.2317877132995291,0.22197436957889302
2022-01-24,0.11637963292480812,0.21121884214111522,0.09550674052513669,0.10626694586014551,0.017150537354710733,0.22790812327016471,0.225569177923919
2022-01-25,0.11776122298539493,0.21043945110065898,0.09486203464978508,0.10533694492791888,0.01676686331397029,0.2303598331481077,0.22447364987416413
2022-01-26,0.11678564408441293,0.21476345392450194,0.09583326788736173,0.10369174624515852,0.016971210811153364,0.23331156741190545,0.21864310963550607
2022-01-27,0.11945738227991796,0.22264934022459537,0.09814156915740568,0.10696300311359544,0.016777646847313307,0.21169821495536034,0.22431284342181187
2022-01-28,0.12386734562028817,0.2218703945227254,0.09833159778096331,0.10690008455729368,0.016926287335828995,0.20946461545501374,0.22263967472788673
2022-01-31,0.12187539947558562,0.21462156696472345,0.09566751841367603,0.10648666312988427,0.01739971661717367,0.22229468657886375,0.2216544488200932
2022-02-01,0.12126828174436237,0.21223436199776663,0.09693186782770434,0.1072080644073149,0.01743747087536581,0.22010979061921768,0.22481016252826827
2022-02-02,0.12113363062344833,0.21372020255201787,0.10338079776759511,0.10593129464875553,0.017720286525066065,0.2123279531310192,0.22578583475209787
2022-02-03,0.13030883806976826,0.2247100020337057,0.10935011602548697,0.10683828226179493,0.01839280798257135,0.22857027390121099,0.18182967972546182
2022-02-04,0.12680293121824476,0.22244208723797773,0.10673829794203984,0.11823484205353764,0.018205806109329925,0.23084020124677354,0.17673583419209657
2022-02-07,0.12881123566096989,0.2232247825356337,0.10578038213689428,0.12084470210474892,0.018885154182040453,0.23141773511878663,0.17103600826092616
2022-02-08,0.13011000608497786,0.22404281501165926,0.10505883158443821,0.1224891997750998,0.019017515590997177,0.23322098705633468,0.16606064489649303
2022-02-09,0.1286031936047025,0.22442215496790144,0.1046081574072395,0.11990815365390746,0.019828429010933332,0.23110354853103363,0.17152636282428216
2022-02-10,0.12860211849460773,0.22332298960644562,0.1048867868270054,0.12113975721590578,0.01963754595634207,0.22971605418485286,0.17269474771484056
2022-02-11,0.13055092005600957,0.22576876870075857,0.10527299191037438,0.12100585363100667,0.018869208558622768,0.22628710833331142,0.17224514880991662
2022-02-14,0.13001449454929034,0.22449107631817036,0.10566092067825897,0.12180811660322509,0.01901413856777143,0.2291610028422373,0.1698502504410465
2022-02-15,0.12970373612882355,0.22294541067684745,0.1038460101176324,0.11979553421424897,0.020241599366838853,0.23534734404605387,0.16812036544955491
2022-02-16,0.12971822842717068,0.22301979936215668,0.10486196508962338,0.12119438628903026,0.020284255547566243,0.2359463050546083,0.16497506022984443
2022-02-17,0.13172380080506987,0.2246138273880084,0.10469063825625355,0.12300032528113543,0.019454640153441397,0.23233019913098343,0.16418656898510794
2022-02-18,0.13231219666801944,0.2255544791651705,0.1044406787854376,0.1230625684461023,0.01902983952814169,0.23036505811236033,0.16523517929476814
2022-02-22,0.13232863554544053,0.22950601010408175,0.10586719365357575,0.12333585660476591,0.019170813568428015,0.2248686031564343,0.16492288736727376
