Data,Retorno_SP500,Retorno_Apple,Retorno_Microsoft,Retorno_Alphabet,Retorno_Amazon,Retorno_Nvidia,Retorno_Tesla,Retorno_Meta,VIX,Taxa_Juros_10Y,Retorno_BigTech_Index
2022-01-04,-0.0006298202522032699,-0.012772779832361828,-0.017296062061921313,-0.004091403186322524,-0.017060289689663746,-0.027976429771443368,-0.04273287830059682,-0.005955125499136317,16.90999984741211,1.6679999828338623,-0.019573942425648114
2022-01-05,-0.019583264304501073,-0.026960009673593292,-0.039143812707441855,-0.046961797675407674,-0.019073846316683307,-0.059285493832305435,-0.054953895352910696,-0.037419045862963754,19.729999542236328,1.7050000429153442,-0.040094019921595545
2022-01-06,-0.0009642337401809882,-0.016834317584757938,-0.00793330006064834,-0.00019963243163171823,-0.006733601858714689,0.020580964480201396,-0.021758379841487693,0.025251448979906433,19.610000610351562,1.7330000400543213,-0.003482632781714596
2022-01-07,-0.004058441082336512,0.0009877745716965456,0.0005095773476098593,-0.005317279913893335,-0.004296997177475961,-0.03359827729336182,-0.03609004895021842,-0.0020173092284167986,18.760000228881836,1.7710000276565552,-0.010220261781312572
2022-01-10,-0.0014420705375388979,0.00011617658528289824,0.0007322255880487939,0.011988351986320608,-0.006591854785116594,0.005599839258118978,0.029890740749494566,-0.011275228672380592,19.399999618530273,1.7799999713897705,0.005308053419872047
2022-01-11,0.009118286452399373,0.016644624166307673,0.0022565334399421437,0.007661372346272228,0.023718602439306714,0.01510415317258897,0.005917481776156395,0.019021112097482303,18.40999984741211,1.746000051498413,0.011611245350508961
2022-01-12,0.0028137920146670695,0.0025669330295332925,0.01039081797879793,0.012053713563251123,-0.0009377696670975312,0.006521366439997044,0.03853754612843837,-0.0033252325875918606,17.6200008392334,1.725000023841858,0.01220359059316556
2022-01-13,-0.014346029234400533,-0.019211557195841052,-0.04324406541547401,-0.020310237668064512,-0.024466534551061184,-0.05219764827513127,-0.06987655465675016,-0.020554198081242248,20.309999465942383,1.7109999656677246,-0.03761644711118055
2022-01-14,0.0008196442695905652,0.005097553450006582,0.017561574165163893,0.006426484977716535,0.005715124523055335,0.013715170608359317,0.017346435457551865,0.016464898195858918,19.190000534057617,1.7719999551773071,0.013421816711399914
2022-01-18,-0.0185591053980085,-0.019074815507608617,-0.024640690953518358,-0.025284539862619596,-0.02006265472349509,-0.039327377261820375,-0.018364847454341894,-0.04231061526902573,22.790000915527344,1.8650000095367432,-0.026200506285322125
