,retorno_sp500,retorno_bigtech,vix,taxa_juros_10y
retorno_sp500,1.0,0.8690996985351018,-0.19057398188140892,0.04886681470529551
retorno_bigtech,0.8690996985351018,1.0,-0.18653697890158388,0.049036762301943954
vix,-0.19057398188140892,-0.18653697890158388,1.0,-0.5930735637299501
taxa_juros_10y,0.04886681470529551,0.049036762301943954,-0.5930735637299501,1.0
